id;infinitive;time;mood;person;quantity;conjugation
191;estar;futur;indicatiu;2;plural;estareu
192;estar;futur;indicatiu;3;plural;estaran
193;estar;condicional;indicatiu;1;singular;estaria
194;estar;condicional;indicatiu;2;singular;estaries
195;estar;condicional;indicatiu;3;singular;estaria
196;estar;condicional;indicatiu;1;plural;estaríem
197;estar;condicional;indicatiu;2;plural;estaríeu
198;estar;condicional;indicatiu;3;plural;estarien
199;estar;participi;;;;estat
200;estar;gerundi;;;;estant
201;venir;present;indicatiu;1;singular;vinc
202;venir;present;indicatiu;2;singular;vens
203;venir;present;indicatiu;3;singular;ve
204;venir;present;indicatiu;1;plural;venim
205;venir;present;indicatiu;2;plural;veniu
206;venir;present;indicatiu;3;plural;venen
207;venir;present;subjuntiu;1;singular;vingui
208;venir;present;subjuntiu;2;singular;vinguis
209;venir;present;subjuntiu;3;singular;vingui
210;venir;present;subjuntiu;1;plural;vinguem
211;venir;present;subjuntiu;2;plural;vingueu
212;venir;present;subjuntiu;3;plural;vinguin
213;venir;present;imperatiu;2;singular;vine
214;venir;present;imperatiu;2;plural;veniu
215;venir;imperfet;indicatiu;1;singular;venia
216;venir;imperfet;indicatiu;2;singular;venies
217;venir;imperfet;indicatiu;3;singular;venia
218;venir;imperfet;indicatiu;1;plural;veníem
219;venir;imperfet;indicatiu;2;plural;veníeu
220;venir;imperfet;indicatiu;3;plural;venien
221;venir;imperfet;subjuntiu;1;singular;vingués
222;venir;imperfet;subjuntiu;2;singular;vinguessis
223;venir;imperfet;subjuntiu;3;singular;vingués
224;venir;imperfet;subjuntiu;1;plural;vinguéssim
225;venir;imperfet;subjuntiu;2;plural;vinguéssiu
226;venir;imperfet;subjuntiu;3;plural;vinguessin
227;venir;futur;indicatiu;1;singular;vindré
228;venir;futur;indicatiu;2;singular;vindràs
229;venir;futur;indicatiu;3;singular;vindrà
230;venir;futur;indicatiu;1;plural;vindrem
231;venir;futur;indicatiu;2;plural;vindreu
232;venir;futur;indicatiu;3;plural;vindran
233;venir;condicional;indicatiu;1;singular;vindria
234;venir;condicional;indicatiu;2;singular;vindries
235;venir;condicional;indicatiu;3;singular;vindria
236;venir;condicional;indicatiu;1;plural;vindríem
237;venir;condicional;indicatiu;2;plural;vindríeu
238;venir;condicional;indicatiu;3;plural;vindrien
239;venir;participi;;;;vingut
240;venir;gerundi;;;;venint
241;fer;present;indicatiu;1;singular;faig
242;fer;present;indicatiu;2;singular;fas
243;fer;present;indicatiu;3;singular;fa
244;fer;present;indicatiu;1;plural;fem
245;fer;present;indicatiu;2;plural;feu
246;fer;present;indicatiu;3;plural;fan
247;fer;present;subjuntiu;1;singular;faci
248;fer;present;subjuntiu;2;singular;facis
249;fer;present;subjuntiu;3;singular;facis
250;fer;present;subjuntiu;1;plural;fem
251;fer;present;subjuntiu;2;plural;feu
252;fer;present;subjuntiu;3;plural;facin
253;fer;present;imperatiu;2;singular;fes
254;fer;present;imperatiu;2;plural;feu
255;fer;imperfet;indicatiu;1;singular;feia
256;fer;imperfet;indicatiu;2;singular;feies
257;fer;imperfet;indicatiu;3;singular;feia
258;fer;imperfet;indicatiu;1;plural;fèiem
259;fer;imperfet;indicatiu;2;plural;fèieu
260;fer;imperfet;indicatiu;3;plural;feien
261;fer;imperfet;subjuntiu;1;singular;fes
262;fer;imperfet;subjuntiu;2;singular;fessis
263;fer;imperfet;subjuntiu;3;singular;fes
264;fer;imperfet;subjuntiu;1;plural;féssim
265;fer;imperfet;subjuntiu;2;plural;féssiu
266;fer;imperfet;subjuntiu;3;plural;fessin
267;fer;futur;indicatiu;1;singular;faré
268;fer;futur;indicatiu;2;singular;faràs
269;fer;futur;indicatiu;3;singular;farà
270;fer;futur;indicatiu;1;plural;farem
271;fer;futur;indicatiu;2;plural;fareu
272;fer;futur;indicatiu;3;plural;faran
273;fer;condicional;indicatiu;1;singular;faria
274;fer;condicional;indicatiu;2;singular;faries
275;fer;condicional;indicatiu;3;singular;faria
276;fer;condicional;indicatiu;1;plural;faríem
277;fer;condicional;indicatiu;2;plural;faríeu
278;fer;condicional;indicatiu;3;plural;farien
279;fer;participi;;;;fet
280;fer;gerundi;;;;fent
281;dir;present;indicatiu;1;singular;dic
282;dir;present;indicatiu;2;singular;dius
283;dir;present;indicatiu;3;singular;diu
284;dir;present;indicatiu;1;plural;diem
285;dir;present;indicatiu;2;plural;dieu
286;dir;present;indicatiu;3;plural;diuen
287;dir;present;subjuntiu;1;singular;digui
288;dir;present;subjuntiu;2;singular;diguis
289;dir;present;subjuntiu;3;singular;digui
290;dir;present;subjuntiu;1;plural;diguem
291;dir;present;subjuntiu;2;plural;digueu
292;dir;present;subjuntiu;3;plural;diguin
293;dir;present;imperatiu;2;singular;digues
294;dir;present;imperatiu;2;plural;digueu
295;dir;imperfet;indicatiu;1;singular;deia
296;dir;imperfet;indicatiu;2;singular;deies
297;dir;imperfet;indicatiu;3;singular;deia
298;dir;imperfet;indicatiu;1;plural;dèiem
299;dir;imperfet;indicatiu;2;plural;dèieu
300;dir;imperfet;indicatiu;3;plural;deien
301;dir;imperfet;subjuntiu;1;singular;digués
302;dir;imperfet;subjuntiu;2;singular;diguessis
303;dir;imperfet;subjuntiu;3;singular;digués
304;dir;imperfet;subjuntiu;1;plural;diguéssim
305;dir;imperfet;subjuntiu;2;plural;diguéssiu
306;dir;imperfet;subjuntiu;3;plural;diguessin
307;dir;futur;indicatiu;1;singular;diré
308;dir;futur;indicatiu;2;singular;diràs
309;dir;futur;indicatiu;3;singular;dirà
310;dir;futur;indicatiu;1;plural;direm
311;dir;futur;indicatiu;2;plural;direu
312;dir;futur;indicatiu;3;plural;diran
313;dir;condicional;indicatiu;1;singular;diria
314;dir;condicional;indicatiu;2;singular;diries
315;dir;condicional;indicatiu;3;singular;diria
316;dir;condicional;indicatiu;1;plural;diríem
317;dir;condicional;indicatiu;2;plural;diríeu
318;dir;condicional;indicatiu;3;plural;dirien
319;dir;participi;;;;dit
320;dir;gerundi;;;;dient
321;poder;present;indicatiu;1;singular;puc
322;poder;present;indicatiu;2;singular;pots
323;poder;present;indicatiu;3;singular;pot
324;poder;present;indicatiu;1;plural;podem
325;poder;present;indicatiu;2;plural;podeu
326;poder;present;indicatiu;3;plural;poen
327;poder;present;subjuntiu;1;singular;pugui
328;poder;present;subjuntiu;2;singular;puguis
329;poder;present;subjuntiu;3;singular;pugui
330;poder;present;subjuntiu;1;plural;puguem
331;poder;present;subjuntiu;2;plural;pugueu
332;poder;present;subjuntiu;3;plural;puguin
333;poder;present;imperatiu;2;singular;pugues
334;poder;present;imperatiu;2;plural;pugueu
335;poder;imperfet;indicatiu;1;singular;podia
336;poder;imperfet;indicatiu;2;singular;podies
337;poder;imperfet;indicatiu;3;singular;podia
338;poder;imperfet;indicatiu;1;plural;podíem
339;poder;imperfet;indicatiu;2;plural;podíeu
340;poder;imperfet;indicatiu;3;plural;podien
341;poder;imperfet;subjuntiu;1;singular;pogués
342;poder;imperfet;subjuntiu;2;singular;poguessis
343;poder;imperfet;subjuntiu;3;singular;pogués
344;poder;imperfet;subjuntiu;1;plural;poguéssim
345;poder;imperfet;subjuntiu;2;plural;poguéssiu
346;poder;imperfet;subjuntiu;3;plural;poguessin
347;poder;futur;indicatiu;1;singular;podré
348;poder;futur;indicatiu;2;singular;podràs
349;poder;futur;indicatiu;3;singular;podrà
350;poder;futur;indicatiu;1;plural;podrem
351;poder;futur;indicatiu;2;plural;podreu
352;poder;futur;indicatiu;3;plural;podran
353;poder;condicional;indicatiu;1;singular;podria
354;poder;condicional;indicatiu;2;singular;podries
355;poder;condicional;indicatiu;3;singular;podria
356;poder;condicional;indicatiu;1;plural;podríem
357;poder;condicional;indicatiu;2;plural;podríeu
358;poder;condicional;indicatiu;3;plural;podrien
359;poder;participi;;;;pogut
360;poder;gerundi;;;;podent
361;saber;present;indicatiu;1;singular;sé
362;saber;present;indicatiu;2;singular;saps
363;saber;present;indicatiu;3;singular;sap
364;saber;present;indicatiu;1;plural;sabem
365;saber;present;indicatiu;2;plural;sabeu
366;saber;present;indicatiu;3;plural;saben
367;saber;present;subjuntiu;1;singular;sàpiga
368;saber;present;subjuntiu;2;singular;sàpigues
369;saber;present;subjuntiu;3;singular;sàpiga
370;saber;present;subjuntiu;1;plural;sapiguem
371;saber;present;subjuntiu;2;plural;sapigueu
372;saber;present;subjuntiu;3;plural;sàpiguen
373;saber;present;imperatiu;2;singular;sàpiga
374;saber;present;imperatiu;2;plural;sapigueu
375;saber;imperfet;indicatiu;1;singular;sabia
